dt,temp,temp_min,temp_max,speed,dt-1hr
2023-05-22 00:00:00,62.114000000000004,15.92,16.73,2.86,2023-05-21 23:00:00
2023-05-22 03:00:00,60.044,14.8,15.58,2.06,2023-05-22 02:00:00
2023-05-22 06:00:00,54.878,12.71,12.71,0.89,2023-05-22 05:00:00
2023-05-22 09:00:00,53.366,11.87,11.87,1.43,2023-05-22 08:00:00
2023-05-22 12:00:00,52.646,11.47,11.47,2.6,2023-05-22 11:00:00
2023-05-22 15:00:00,53.528000000000006,11.96,11.96,5.17,2023-05-22 14:00:00
2023-05-22 18:00:00,56.804,13.78,13.78,5.17,2023-05-22 17:00:00
2023-05-22 21:00:00,57.272,14.04,14.04,3.89,2023-05-22 20:00:00
2023-05-23 00:00:00,56.282,13.49,13.49,1.84,2023-05-22 23:00:00
2023-05-23 03:00:00,54.769999999999996,12.65,12.65,0.78,2023-05-23 02:00:00
2023-05-23 06:00:00,53.726,12.07,12.07,0.32,2023-05-23 05:00:00
2023-05-23 09:00:00,51.980000000000004,11.1,11.1,0.61,2023-05-23 08:00:00
2023-05-23 12:00:00,52.16,11.2,11.2,0.26,2023-05-23 11:00:00
2023-05-23 15:00:00,52.141999999999996,11.19,11.19,1.13,2023-05-23 14:00:00
2023-05-23 18:00:00,54.104,12.28,12.28,3.09,2023-05-23 17:00:00
2023-05-23 21:00:00,54.122,12.29,12.29,1.93,2023-05-23 20:00:00
2023-05-24 00:00:00,54.698,12.61,12.61,2.62,2023-05-23 23:00:00
2023-05-24 03:00:00,54.878,12.71,12.71,2.1,2023-05-24 02:00:00
2023-05-24 06:00:00,51.782,10.99,10.99,1.39,2023-05-24 05:00:00
2023-05-24 09:00:00,51.35,10.75,10.75,0.57,2023-05-24 08:00:00
2023-05-24 12:00:00,52.43,11.35,11.35,0.36,2023-05-24 11:00:00
2023-05-24 15:00:00,56.3,13.5,13.5,1.94,2023-05-24 14:00:00
2023-05-24 18:00:00,60.35,15.75,15.75,3.38,2023-05-24 17:00:00
2023-05-24 21:00:00,61.88,16.6,16.6,2.98,2023-05-24 20:00:00
2023-05-25 00:00:00,64.22,17.9,17.9,2.76,2023-05-24 23:00:00
2023-05-25 03:00:00,60.872,16.04,16.04,1.8,2023-05-25 02:00:00
2023-05-25 06:00:00,57.308,14.06,14.06,0.86,2023-05-25 05:00:00
2023-05-25 09:00:00,55.400000000000006,13.0,13.0,0.74,2023-05-25 08:00:00
2023-05-25 12:00:00,54.104,12.28,12.28,0.27,2023-05-25 11:00:00
2023-05-25 15:00:00,58.55,14.75,14.75,0.59,2023-05-25 14:00:00
2023-05-25 18:00:00,63.932,17.74,17.74,2.76,2023-05-25 17:00:00
2023-05-25 21:00:00,67.586,19.77,19.77,3.11,2023-05-25 20:00:00
2023-05-26 00:00:00,68.936,20.52,20.52,2.39,2023-05-25 23:00:00
2023-05-26 03:00:00,64.094,17.83,17.83,1.46,2023-05-26 02:00:00
2023-05-26 06:00:00,60.134,15.63,15.63,0.26,2023-05-26 05:00:00
2023-05-26 09:00:00,58.19,14.55,14.55,0.63,2023-05-26 08:00:00
2023-05-26 12:00:00,56.732,13.74,13.74,0.7,2023-05-26 11:00:00
2023-05-26 15:00:00,61.843999999999994,16.58,16.58,1.91,2023-05-26 14:00:00
2023-05-26 18:00:00,66.524,19.18,19.18,2.87,2023-05-26 17:00:00
2023-05-26 21:00:00,69.94399999999999,21.08,21.08,2.97,2023-05-26 20:00:00
